crop_id,crop_name,crop_type
1,Rice,Food
2,Jowar,Food
3,Coffee,Plantation
4,Tea,Plantation
5,Barley,Food
6,Wheat,Food
7,Maize,Food
8,Ragi,Food
9,Sugarcane,Cash
10,Mushroom,Horticulture
11,Onion,Horticulture
12,Potato,Horticulture
13,Cotton,Cash
14,Jute,Cash
15,Sunflower,Cash
16,Cashewnuts,Plantation
17,Coconut,Plantation
18,Almond ,Plantation
19,Arecanut,Plantation
20,Pineapple,Horticulture
21,Pomegranate,Horticulture
22,Banana,Horticulture
23,Watermelon,Horticulture
24,Green Peas,Horticulture
25,Apple,Horticulture
